ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
A,6/28/01,30,31.9,30,31.69,3012200,0,1,19.36737715,20.5939777,19.36737715,20.45840606,3012200
A,6/29/01,31.5,34.1,30.8,32.5,4018400,0,1,20.33385121,22.01220083,19.88198785,20.97937029,4018400
A,7/2/01,32.5,33.5,32.02,33.09,1539600,0,1,20.97868948,21.62418762,20.66885037,21.35953338,1539600
A,7/3/01,33.2,33.2,32.32,32.52,671600,0,1,21.43242785,21.43242785,20.8643394,20.99345041,671600
A,7/5/01,32.51,32.94,31.55,32.17,1484400,0,1,20.9876643,21.26526183,20.36791168,20.76816858,1484400
A,7/6/01,31.9,31.9,29.14,30.15,1592200,0,1,20.58816261,20.58816261,18.80686703,19.45871795,1592200
A,7/9/01,30.15,30.65,29.61,29.91,992800,0,1,19.45873207,19.78143078,19.11021747,19.30383669,992800
A,7/10/01,29.91,30.4,28.08,28.3,2423300,0,1,19.30827715,19.62459463,18.1269282,18.26894829,2423300
A,7/11/01,28.35,28.75,26.2,26.87,3102100,0,1,18.30215734,18.56038884,16.91416305,17.34670081,3102100
A,7/12/01,28.5,31.5,28.3,30.74,2467100,0,1,18.39976419,20.33658147,18.27064304,19.84592109,2467100
A,7/13/01,30.75,32.09,29.82,30.3,1990000,0,1,19.84773338,20.71264274,19.24746047,19.55727875,1990000
A,7/16/01,30.15,30.64,28.5,28.9,1595000,0,1,19.4630784,19.77939377,18.39793481,18.65615144,1595000
A,7/17/01,28.25,29.94,28.01,29.5,2097400,0,1,18.23643277,19.32739105,18.08150379,19.04335458,2097400
A,7/18/01,28.1,29.24,28.1,28.49,1045200,0,1,18.13690707,18.87271041,18.13690707,18.38862926,1045200
A,7/19/01,28.64,30.5,28.64,28.96,1346400,0,1,18.48481745,19.68529791,18.48481745,18.69135172,1346400
A,7/20/01,28.71,29.38,27.9,28.9,1470400,0,1,18.53349854,18.96601139,18.01060986,18.65615144,1470400
A,7/23/01,28.99,29.35,27.55,27.71,1479600,0,1,18.71511668,18.9475224,17.78549377,17.88878521,1479600
A,7/24/01,27.6,27.95,27,27.45,1773100,0,1,17.81665347,18.0425893,17.42933492,17.71982383,1773100
A,7/25/01,27.4,27.84,26.92,27.84,1640200,0,1,17.68920566,17.97326589,17.37932176,17.97326589,1640200
A,7/26/01,28,29.55,27.65,29.21,1820700,0,1,18.07229185,19.07272229,17.8463882,18.85327304,1820700
A,7/27/01,29.15,30.19,28.81,30.1,1322700,0,1,18.81730092,19.48865573,18.59781953,19.43055772,1322700
A,7/30/01,29.05,29.95,29.05,29.42,1294000,0,1,18.75519561,19.33625159,18.75519561,18.99407418,1294000
A,7/31/01,29.05,30.3,28.43,28.61,1533100,0,1,18.75006398,19.55686535,18.34989049,18.46606989,1533100
A,8/1/01,29.5,31.89,29.22,31.75,2514000,0,1,19.04130354,20.58397186,18.86057252,20.49360635,2514000
A,8/2/01,31.5,32.7,31.15,31.75,1843300,0,1,20.33223937,21.10680087,20.1063256,20.49360635,1843300
A,8/3/01,31.2,32.35,31.12,31.3,1014400,0,1,20.14041141,20.88276631,20.08876933,20.20496401,1014400
A,8/6/01,31.31,31.48,30.51,30.82,1221600,0,1,20.21151067,20.32125058,19.69508753,19.89520149,1221600
A,8/7/01,30.82,31.8,30.5,31.03,1057300,0,1,19.89341369,20.52597519,19.68686299,20.02896258,1057300
A,8/8/01,29.7,30.6,28.92,28.95,2213000,0,1,19.16836119,19.74922062,18.66494968,18.68431166,2213000
A,8/9/01,28.95,28.95,28.02,28.64,1156200,0,1,18.68729582,18.68729582,18.08697855,18.48719006,1156200
A,8/10/01,28.65,28.8,27.51,28.59,1712100,0,1,18.49071379,18.58752381,17.75495764,18.45198978,1712100
